#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = Water
lava                                              (minecraft:lava)                                                                 = Lava
iron                                              (tconstruct:molten_iron)                                                         = Molten Iron
gold                                              (tconstruct:molten_gold)                                                         = Molten Gold
pigiron                                           (tconstruct:molten_pigiron)                                                      = Molten Pigiron
cobalt                                            (tconstruct:molten_cobalt)                                                       = Molten Cobalt
ardite                                            (tconstruct:molten_ardite)                                                       = Molten Ardite
manyullyn                                         (tconstruct:molten_manyullyn)                                                    = Molten Manyullyn
knightslime                                       (tconstruct:molten_knightslime)                                                  = Molten Knightslime
alubrass                                          (tconstruct:molten_alubrass)                                                     = Molten Aluminum Brass
brass                                             (tconstruct:molten_brass)                                                        = Molten Brass
copper                                            (tconstruct:molten_copper)                                                       = Molten Copper
tin                                               (tconstruct:molten_tin)                                                          = Molten Tin
bronze                                            (tconstruct:molten_bronze)                                                       = Molten Bronze
zinc                                              (tconstruct:molten_zinc)                                                         = Molten Zinc
lead                                              (tconstruct:molten_lead)                                                         = Molten Lead
nickel                                            (tconstruct:molten_nickel)                                                       = Molten Nickel
silver                                            (tconstruct:molten_silver)                                                       = Molten Silver
electrum                                          (tconstruct:molten_electrum)                                                     = Molten Electrum
steel                                             (tconstruct:molten_steel)                                                        = Molten Steel
aluminum                                          (tconstruct:molten_aluminum)                                                     = Molten Aluminum
creosote                                          (immersiveengineering:fluidcreosote)                                             = Creosote Oil
plantoil                                          (immersiveengineering:fluidplantoil)                                             = Plant Oil
ethanol                                           (immersiveengineering:fluidethanol)                                              = Ethanol
biodiesel                                         (immersiveengineering:fluidbiodiesel)                                            = Biodiesel
concrete                                          (immersiveengineering:fluidconcrete)                                             = Liquid Concrete
potion                                            ([no block])                                                                     = Potion
ink                                               (immersiveintelligence:ink)                                                      = Ink
ink_cyan                                          (immersiveintelligence:ink_cyan)                                                 = Cyan Ink
ink_magenta                                       (immersiveintelligence:ink_magenta)                                              = Magenta Ink
ink_yellow                                        (immersiveintelligence:ink_yellow)                                               = Yellow Ink
etching_acid                                      (immersiveintelligence:etching_acid)                                             = Etching Acid
sulfuric_acid                                     (immersiveintelligence:sulfuric_acid)                                            = Sulfuric Acid
hydrofluoric_acid                                 (immersiveintelligence:hydrofluoric_acid)                                        = Hydrofluoric Acid
nitric_acid                                       (immersiveintelligence:nitric_acid)                                              = Nitric Acid
brine                                             (immersiveintelligence:brine)                                                    = Brine
hydrogen                                          (immersiveintelligence:hydrogen)                                                 = Hydrogen
oxygen                                            (immersiveintelligence:oxygen)                                                   = Oxygen
chlorine                                          (immersiveintelligence:chlorine)                                                 = Chlorine
ammonia                                           (immersiveintelligence:ammonia)                                                  = Ammonia
methanol                                          (immersiveintelligence:methanol)                                                 = Methanol
canolaoil                                         (actuallyadditions:block_canola_oil)                                             = Canola Oil
refinedcanolaoil                                  (actuallyadditions:block_refined_canola_oil)                                     = Refined Canola Oil
crystaloil                                        (actuallyadditions:block_crystal_oil)                                            = Crystallized Oil
empoweredoil                                      (actuallyadditions:block_empowered_oil)                                          = Empowered Oil
sand                                              (biomesoplenty:sand)                                                             = Quicksand
honey                                             (biomesoplenty:honey)                                                            = Honey
blood                                             (biomesoplenty:blood)                                                            = Blood
poison                                            (biomesoplenty:poison)                                                           = Poison
hot_spring_water                                  (biomesoplenty:hot_spring_water)                                                 = Hot Spring Water
fierymetal                                        (twilightforest:molten_fierymetal)                                               = Molten Fiery
knightmetal                                       (twilightforest:molten_knightmetal)                                              = Molten Knightmetal
fiery_essence                                     (twilightforest:fiery_essence)                                                   = Fiery Essence
slop                                              (animania:slop)                                                                  = Slop
milk_holstein                                     (animania:milk_holstein)                                                         = Holstein Milk
milk_friesian                                     (animania:milk_friesian)                                                         = Friesian Milk
milk_jersey                                       (animania:milk_jersey)                                                           = Jersey Milk
milk_goat                                         (animania:milk_goat)                                                             = Goat Milk
milk_sheep                                        (animania:milk_sheep)                                                            = Sheep Milk
animania_honey                                    (animania:honey)                                                                 = Honey
steam                                             ([no block])                                                                     = Steam
coal                                              ([no block])                                                                     = Liquifacted Coal
crude_oil                                         (thermalfoundation:fluid_crude_oil)                                              = Crude Oil
refined_oil                                       ([no block])                                                                     = Naphtha
refined_fuel                                      ([no block])                                                                     = Refined Fuel
sap                                               ([no block])                                                                     = Sap
syrup                                             ([no block])                                                                     = Syrup
resin                                             ([no block])                                                                     = Resin
tree_oil                                          ([no block])                                                                     = Tree Oil
seed_oil                                          ([no block])                                                                     = Seed Oil
biocrude                                          ([no block])                                                                     = Biocrude
refined_biofuel                                   ([no block])                                                                     = Grassoline
mushroom_stew                                     ([no block])                                                                     = Mushroom Stew
experience                                        ([no block])                                                                     = Essence of Knowledge
potion_splash                                     ([no block])                                                                     = Splash Potion
potion_lingering                                  ([no block])                                                                     = Lingering Potion
redstone                                          (thermalfoundation:fluid_redstone)                                               = Destabilized Redstone
glowstone                                         (thermalfoundation:fluid_glowstone)                                              = Energized Glowstone
ender                                             (thermalfoundation:fluid_ender)                                                  = Resonant Ender
pyrotheum                                         (thermalfoundation:fluid_pyrotheum)                                              = Blazing Pyrotheum
cryotheum                                         (thermalfoundation:fluid_cryotheum)                                              = Gelid Cryotheum
aerotheum                                         (thermalfoundation:fluid_aerotheum)                                              = Zephyrean Aerotheum
petrotheum                                        (thermalfoundation:fluid_petrotheum)                                             = Tectonic Petrotheum
mana                                              (thermalfoundation:fluid_mana)                                                   = Primal Mana
platinum                                          (tconstruct:molten_platinum)                                                     = Molten Platinum
iridium                                           (tconstruct:molten_iridium)                                                      = Molten Iridium
invar                                             (tconstruct:molten_invar)                                                        = Molten Invar
constantan                                        (immersiveengineering:molten_constantan)                                         = Molten Constantan
signalum                                          (tconstruct:molten_signalum)                                                     = Molten Signalum
lumium                                            (tconstruct:molten_lumium)                                                       = Molten Lumium
enderium                                          (tconstruct:molten_enderium)                                                     = Molten Enderium
electrical_steel                                  (enderio:block_fluid_electrical_steel)                                           = Molten Electrical Steel
energetic_alloy                                   (enderio:block_fluid_energetic_alloy)                                            = Molten Energetic Alloy
vibrant_alloy                                     (enderio:block_fluid_vibrant_alloy)                                              = Molten Vibrant Alloy
redstone_alloy                                    (enderio:block_fluid_redstone_alloy)                                             = Molten Redstone Alloy
conductive_iron                                   (enderio:block_fluid_conductive_iron)                                            = Molten Conductive Iron
pulsating_iron                                    (enderio:block_fluid_pulsating_iron)                                             = Molten Pulsating Iron
dark_steel                                        (enderio:block_fluid_dark_steel)                                                 = Molten Dark Steel
soularium                                         (enderio:block_fluid_soularium)                                                  = Molten Soularium
end_steel                                         (enderio:block_fluid_end_steel)                                                  = Molten End Steel
construction_alloy                                (enderio:block_fluid_construction_alloy)                                         = Molten Iron Alloy
crude_steel                                       (enderio:block_fluid_crude_steel)                                                = Molten Crude Steel
crystalline_alloy                                 (enderio:block_fluid_crystalline_alloy)                                          = Molten Crystalline Alloy
melodic_alloy                                     (enderio:block_fluid_melodic_alloy)                                              = Molten Melodic Alloy
stellar_alloy                                     (enderio:block_fluid_stellar_alloy)                                              = Molten Stellar Alloy
crystalline_pink_slime                            (enderio:block_fluid_crystalline_pink_slime)                                     = Molten Crystalline Pink Slime
energetic_silver                                  (enderio:block_fluid_energetic_silver)                                           = Molten Energetic Silver
vivid_alloy                                       (enderio:block_fluid_vivid_alloy)                                                = Molten Vivid Alloy
candied_water                                     (aoa3:candied_water)                                                             = Candied Water
baronyte                                          (tconstruct:molten_baronyte)                                                     = Molten Baronyte
blazium                                           (tconstruct:molten_blazium)                                                      = Molten Blazium
elecanium                                         (tconstruct:molten_elecanium)                                                    = Molten Elecanium
emberstone                                        (tconstruct:molten_emberstone)                                                   = Molten Emberstone
ghastly                                           (tconstruct:molten_ghastly)                                                      = Molten Ghastly Metal
ghoulish                                          (tconstruct:molten_ghoulish)                                                     = Molten Ghoulish Metal
limonite                                          (tconstruct:molten_limonite)                                                     = Molten Limonite
lunar                                             (tconstruct:molten_lunar)                                                        = Molten Lunar Metal
lyon                                              (tconstruct:molten_lyon)                                                         = Molten Lyon
mystite                                           (tconstruct:molten_mystite)                                                      = Molten Mystite
rosite                                            (tconstruct:molten_rosite)                                                       = Molten Rosite
skeletal                                          (tconstruct:molten_skeletal)                                                     = Molten Skeletal Metal
varsium                                           (tconstruct:molten_varsium)                                                      = Molten Varsium
uranium                                           (immersiveengineering:molten_uranium)                                            = Molten Uranium
oliveoil                                          (rustic:olive_oil)                                                               = Olive Oil
ironberryjuice                                    (rustic:ironberry_juice)                                                         = Ironberry Juice
wildberryjuice                                    (rustic:wildberry_juice)                                                         = Wildberry Juice
grapejuice                                        (rustic:grape_juice)                                                             = Grape Juice
applejuice                                        (rustic:apple_juice)                                                             = Apple Juice
alewort                                           (rustic:ale_wort)                                                                = Ale Wort
ale                                               ([no block])                                                                     = Ale
cider                                             ([no block])                                                                     = Cider
ironwine                                          ([no block])                                                                     = Iron Wine
mead                                              ([no block])                                                                     = Mead
wildberrywine                                     ([no block])                                                                     = Wildberry Wine
wine                                              ([no block])                                                                     = Wine
xu_evil_metal                                     ([no block])                                                                     = Evil Infused Iron
xu_enchanted_metal                                ([no block])                                                                     = Enchanted Metal
xu_demonic_metal                                  ([no block])                                                                     = Molten Demon Metal
crystal_water                                     (thaumadditions:crystal_water)                                                   = Crystal Water
dragonsteel_fire                                  (tconstruct:molten_dragonsteel_fire)                                             = Molten Fire Dragonsteel
dragonsteel_ice                                   (tconstruct:molten_dragonsteel_ice)                                              = Molten Ice Dragonsteel
oil                                               (immersivepetroleum:fluid_crude_oil)                                             = Crude Oil
diesel                                            (immersivepetroleum:fluid_diesel)                                                = Diesel
lubricant                                         (immersivepetroleum:fluid_lubricant)                                             = Lubricant
gasoline                                          (immersivepetroleum:fluid_gasoline)                                              = Gasoline
napalm                                            (immersivepetroleum:fluid_napalm)                                                = Napalm
menrilresin                                       (integrateddynamics:block_menril_resin)                                          = Menril Resin
liquidchorus                                      (integrateddynamics:block_liquid_chorus)                                         = Liquid Chorus
distwater                                         (immersivetech:fluiddistwater)                                                   = Distilled Water
mithril                                           (tconstruct:molten_mithril)                                                      = Molten Mithril
refinedobsidian                                   (tconstruct:molten_refinedobsidian)                                              = Molten Refined Obsidian
refinedglowstone                                  (tconstruct:molten_refinedglowstone)                                             = Molten Refined Glowstone
osmium                                            (tconstruct:molten_osmium)                                                       = Molten Osmium
manasteel                                         (tconstruct:molten_manasteel)                                                    = Molten Manasteel
terrasteel                                        (tconstruct:molten_terrasteel)                                                   = Molten Terrasteel
elvenelementium                                   (tconstruct:molten_elvenelementium)                                              = Molten Elementium
gaia                                              ([no block])                                                                     = Molten Gaia Spirit
yellorium                                         (tconstruct:molten_yellorium)                                                    = Molten Yellorium
cyanite                                           (tconstruct:molten_cyanite)                                                      = Molten Cyanite
blutonium                                         (tconstruct:molten_blutonium)                                                    = Molten Blutonium
ludicrite                                         (tconstruct:molten_ludicrite)                                                    = Molten Ludicrite
psi                                               (tconstruct:molten_psi)                                                          = Molten Psimetal
ivorypsi                                          (tconstruct:molten_ivorypsi)                                                     = Molten Ivory Psimetal
ebonypsi                                          (tconstruct:molten_ebonypsi)                                                     = Molten Ebony Psimetal
electrumflux                                      (tconstruct:molten_electrumflux)                                                 = Molten Fluxed Electrum
refinediron                                       (tconstruct:molten_refinediron)                                                  = Molten Refined Iron
tungsten                                          (tconstruct:molten_tungsten)                                                     = Molten Tungsten
titanium                                          (tconstruct:molten_titanium)                                                     = Molten Titanium
chrome                                            (tconstruct:molten_chrome)                                                       = Molten Chrome
advancedalloy                                     (tconstruct:molten_advancedalloy)                                                = Molten Advanced Alloy
xpjuice                                           ([no block])                                                                     = XP Juice
milk                                              ([no block])                                                                     = Milk
cinderfire_wort                                   (rusticthaumaturgy:cinderfire_wort)                                              = Cinderfire Wort
shimmerdew_wort                                   (rusticthaumaturgy:shimmerdew_wort)                                              = Shimmerdew Wort
viscous_wort                                      (rusticthaumaturgy:viscous_wort)                                                 = Viscous Wort
cinderfire_whiskey                                (rusticthaumaturgy:cinderfire_whiskey)                                           = Cinderfire Whiskey
shimmerdew_spirits                                (rusticthaumaturgy:shimmerdew_spirits)                                           = Shimmerdew Spirits
viscous_brew                                      (rusticthaumaturgy:viscous_brew)                                                 = Viscous Brew
juniper_berry_juice                               (rusticwitchcraft:juniper_berry_juice)                                           = Juniper Spirit
elderberry_juice                                  (rusticwitchcraft:elderberry_juice)                                              = Elderberry Juice
wormwood_mixture                                  (rusticwitchcraft:wormwood_mixture)                                              = Wormwood Mixture
sage_juice                                        (rusticwitchcraft:sage_juice)                                                    = Sage Juice
gin                                               ([no block])                                                                     = Gin
elderberry_wine                                   ([no block])                                                                     = Elderberry Wine
absinthe                                          ([no block])                                                                     = Absinthe
sage_liqueur                                      ([no block])                                                                     = Sage Liqueur
fluid_molten_aer                                  (thaumicrestoration:block_molten_aer)                                            = Molten Air Infused Thaumium
fluid_molten_ignis                                (thaumicrestoration:block_molten_ignis)                                          = Molten Fire Infused Thaumium
